Bank name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
Industrial and Commercial Bank of China Limited,5742.86,4192.29,4709.15,430427.36
China Construction Bank,5016.81,3662.27,4113.78,376009.91
Agricultural Bank of China,4919.03,3590.89,4033.6,368681.3
Bank of China,4192.12,3060.25,3437.54,314199.39
JPMorgan Chase,3868.24,2823.82,3171.96,289924.59
Bank of America,3051.38,2227.51,2502.13,228700.93
Mitsubishi UFJ Financial Group,2967.91,2166.57,2433.69,222444.85
HSBC,2864.59,2091.15,2348.96,214701.02
BNP Paribas,2849.61,2080.22,2336.68,213578.27
Crédit Agricole,2542.61,1856.11,2084.94,190568.62
Citigroup Inc.,2416.68,1764.18,1981.68,181130.17
Postal Savings Bank of China,2039.56,1488.88,1672.44,152865.02
SMBC Group,2006.75,1464.93,1645.54,150405.91
Mizuho Financial Group,1909.35,1393.83,1565.67,143105.78
Bank of Communications,1883.72,1375.12,1544.65,141184.81
Wells Fargo,1881.02,1373.14,1542.44,140982.45
Banco Santander,1853.86,1353.32,1520.17,138946.81
Barclays,1823.84,1331.4,1495.55,136696.81
Japan Post Bank,1719.92,1255.54,1410.33,128908.0
UBS,1679.36,1225.93,1377.08,125868.03
Groupe BPCE,1636.35,1194.54,1341.81,122644.43
Société Générale,1588.99,1159.96,1302.97,119094.8
Royal Bank of Canada,1544.17,1127.24,1266.22,115735.54
Toronto-Dominion Bank,1524.83,1113.13,1250.36,114286.01
China Merchants Bank,1470.0,1073.1,1205.4,110176.5
Goldman Sachs,1441.8,1052.51,1182.28,108062.91
Deutsche Bank,1428.65,1042.91,1171.49,107077.32
Industrial Bank (China),1343.54,980.78,1101.7,100698.32
China CITIC Bank,1239.28,904.67,1016.21,92884.04
Shanghai Pudong Development Bank,1184.28,864.52,971.11,88761.79
Morgan Stanley,1180.23,861.57,967.79,88458.24
Crédit Mutuel,1180.22,861.56,967.78,88457.49
Lloyds Banking Group,1057.69,772.11,867.31,79273.87
China Minsheng Bank,1051.97,767.94,862.62,78845.15
Intesa Sanpaolo,1042.73,761.19,855.04,78152.61
ING Group,1034.32,755.05,848.14,77522.28
Scotiabank,1029.8,751.75,844.44,77183.51
UniCredit,916.72,669.21,751.71,68708.16
China Everbright Bank,913.49,666.85,749.06,68466.08
NatWest Group,867.59,633.34,711.42,65025.87
Bank of Montreal,859.05,627.11,704.42,64385.8
Commonwealth Bank,837.21,611.16,686.51,62748.89
Standard Chartered,819.92,598.54,672.33,61453.0
La Banque postale,796.88,581.72,653.44,59726.16
Ping An Bank,771.55,563.23,632.67,57827.67
Banco Bilbao Vizcaya Argentaria,762.15,556.37,624.96,57123.14
Norinchukin Bank,753.26,549.88,617.67,56456.84
State Bank of India,694.94,507.31,569.85,52085.75
Canadian Imperial Bank of Commerce,691.31,504.66,566.87,51813.68
National Australia Bank,679.76,496.22,557.4,50948.01
U.S.Bancorp,674.81,492.61,553.34,50577.01
Rabobank,671.7,490.34,550.79,50343.92
DZ Bank,670.13,489.19,549.51,50226.24
Australia and New Zealand Banking Group,669.66,488.85,549.12,50191.02
Westpac,653.39,476.97,535.78,48971.58
Nordea,635.72,464.08,521.29,47647.21
CaixaBank,604.03,440.94,495.3,45272.05
Sberbank of Russia,566.07,413.23,464.18,42426.95
KB Financial Group Inc,557.54,407.0,457.18,41787.62
PNC Financial Services,557.26,406.8,456.95,41766.64
Resona Holdings,557.1,406.68,456.82,41754.65
Truist Financial Corp,555.26,405.34,455.31,41616.74
DBS Bank,554.4,404.71,454.61,41552.28
Danske Bank,540.66,394.68,443.34,40522.47
Huaxia Bank,540.04,394.23,442.83,40476.0
Shinhan Bank,537.44,392.33,440.7,40281.13
China Guangfa Bank,528.91,386.1,433.71,39641.8
Sumitomo Mitsui Trust Holdings,516.83,377.29,423.8,38736.41
Commerzbank,510.25,372.48,418.4,38243.24
Capital One,455.25,332.33,373.3,34120.99
Hana Financial Group,452.34,330.21,370.92,33902.88
Bank of Beijing,447.54,326.7,366.98,33543.12
Itaú Unibanco,439.5,320.83,360.39,32940.52
OCBC Bank,417.61,304.86,342.44,31299.87
Nonghyup Bank,417.37,304.68,342.24,31281.88
Bank of Jiangsu,410.83,299.91,336.88,30791.71
The Bank of New York Mellon,405.78,296.22,332.74,30413.21
ABN AMRO,405.67,296.14,332.65,30404.97
Bank of Shanghai,405.13,295.74,332.21,30364.49
Woori Bank,382.05,278.9,313.28,28634.65
KBC Bank,380.33,277.64,311.87,28505.73
China Zheshang Bank,380.14,277.5,311.71,28491.49
Banco do Brasil,379.78,277.24,311.42,28464.51
United Overseas Bank,376.07,274.53,308.38,28186.45
Nomura Holdings,373.41,272.59,306.2,27987.08
Landesbank Baden-Württemberg,346.45,252.91,284.09,25966.43
Erste Group,346.12,252.67,283.82,25941.69
Industrial Bank of Korea,343.49,250.75,281.66,25744.58
Bank of Ningbo,343.05,250.43,281.3,25711.6
Banco Bradesco,340.41,248.5,279.14,25513.73
SEB Group,338.91,247.4,277.91,25401.3
VTB Bank,335.11,244.63,274.79,25116.49
Handelsbanken,331.32,241.86,271.68,24832.43
DNB ASA,328.5,239.8,269.37,24621.08
Qatar National Bank,323.56,236.2,265.32,24250.82
National Bank of Canada,312.67,228.25,256.39,23434.62
Macquarie Group,313.47,228.83,257.05,23494.58
Nationwide Building Society,311.93,227.71,255.78,23379.15
Raiffeisen Gruppe,303.5,221.56,248.87,22747.32
First Abu Dhabi Bank,302.22,220.62,247.82,22651.39
